Country,Eigenvector
Albania,1.0613472966211189e-15
Algeria,0.00546448087431694
American Samoa,0.00546448087431694
Angola,0.00546448087431694
Anguilla,0.0011232377462621773
Antigua and Barbuda,0.007633333406898581
Argentina,0.00546448087431694
Aruba,0.00546448087431694
Australia,0.00546448087431694
Bahamas,5.084157823418174e-16
Bahrain,1.02894852409083e-14
Bangladesh,0.00546448087431694
Barbados,0.004129290120741652
Belgium,0.00546448087431694
Belize,0.00546448087431694
Benin,0.00546448087431694
Bermuda,0.00546448087431694
"Bonaire, Sint Eustatius and Saba",0.00546448087431694
Brazil,0.00546448087431694
British Indian Ocean Territory,0.00546448087431694
Brunei,0.00546448087431694
Bulgaria,0.06289903103930376
Cambodia,0.00546448087431694
Cameroon,0.00546448087431694
Canada,0.00546448087431694
Cape Verde,0.00546448087431694
Cayman Islands,0.00546448087431694
Chile,0.00546448087431694
China,7.31522975475474e-15
Christmas Island,0.00546448087431694
Cocos (Keeling) Islands,0.00546448087431694
Colombia,0.00546448087431694
Comoros,0.00546448087431694
"Congo, Dem. Rep.",0.00546448087431694
"Congo, Rep.",0.00546448087431694
Cook Islands,0.00546448087431694
Costa Rica,0.00546448087431694
Croatia,1.1894151833548526e-16
Cuba,0.00546448087431694
Cura�ao,0.00546448087431694
Cyprus,0.020281435763845484
C�te d'Ivoire,0.00546448087431694
Denmark,0.019121282719390724
Djibouti,0.00546448087431694
Dominica,0.011800295627899913
Dominican Republic,5.072899170007527e-18
Ecuador,0.00546448087431694
Egypt,2.3145516571187212e-10
Equatorial Guinea,0.00546448087431694
Estonia,1.1959109496573627e-06
Faroe Islands,0.00546448087431694
Fiji,0.00546448087431694
Finland,2.6766812672787607e-06
France,0.00546448087431694
French Guiana,0.00546448087431694
French Polynesia,0.00546448087431694
Gabon,0.00546448087431694
Gambia,0.00546448087431694
Georgia,0.00546448087431694
Germany,2.2152781272670185e-15
Ghana,0.00546448087431694
Gibraltar,2.1918200413025305e-13
Greece,7.174925635787752e-16
Greenland,0.00546448087431694
Grenada,0.001123237746262164
Guadeloupe,0.014057018577918263
Guam,0.00546448087431694
Guatemala,0.00546448087431694
Guernsey,3.3685077703637547e-18
Guinea,0.00546448087431694
Guinea-Bissau,0.00546448087431694
Guyana,0.00546448087431694
Haiti,0.00546448087431694
Honduras,0.00546448087431694
Iceland,0.00546448087431694
India,7.742081011058195e-12
Indonesia,0.00546448087431694
Iran,2.566130813967132e-12
Iraq,0.00546448087431694
Ireland,0.00546448087431694
Isle of Man,1.0246349449281076e-17
Israel,0.00546448087431694
Italy,7.0164363095389756e-12
Jamaica,0.00546448087431694
Japan,9.184745804414535e-18
Jersey,1.8986275661446179e-19
Jordan,7.741486113204464e-12
Kenya,0.00546448087431694
Kiribati,0.00546448087431694
Kuwait,1.02894852409083e-14
Latvia,1.4873349725101728e-07
Lebanon,7.635814573602103e-07
Liberia,0.00546448087431694
Libya,5.09425975522414e-14
Lithuania,3.5841251047160848e-06
Madagascar,0.00546448087431694
Malaysia,2.415587780418216e-13
Maldives,0.00546448087431694
Malta,2.199426906423125e-16
Marshall Islands,0.00546448087431694
Martinique,0.014057018577918261
Mauritania,0.00546448087431694
Mauritius,0.00546448087431694
Mayotte,0.00546448087431694
Mexico,0.00546448087431694
Micronesia,0.00546448087431694
Monaco,2.384935267261652e-16
Montserrat,0.00546448087431694
Morocco,8.76826788545947e-17
Mozambique,0.00546448087431694
Myanmar,0.00546448087431694
Namibia,0.00546448087431694
Netherlands,3.4961154098774186e-15
New Caledonia,0.00546448087431694
New Zealand,0.00546448087431694
Nicaragua,0.00546448087431694
Nigeria,0.00546448087431694
Niue,0.00546448087431694
Northern Mariana Islands,0.00546448087431694
Norway,0.00546448087431694
Oman,0.00546448087431694
Pakistan,0.00546448087431694
Palau,0.00546448087431694
Panama,0.00546448087431694
Papua New Guinea,0.00546448087431694
Peru,0.00546448087431694
Philippines,0.00546448087431694
Poland,1.1947067866849035e-06
Portugal,0.00546448087431694
Qatar,1.0293449968379868e-14
Romania,0.06289903103930373
Russia,0.00546448087431694
R�union,0.00546448087431694
Saint Barth�lemy,0.00546448087431694
"Saint Helena, Ascension and Tristan da Cunha",0.00546448087431694
Saint Kitts and Nevis,0.00412929012074165
Saint Lucia,0.007633333406898576
Saint Martin,0.00546448087431694
Saint Pierre and Miquelon,0.00546448087431694
Saint Vincent and the Grenadines,0.0022046418051190524
Samoa,0.00546448087431694
Sao Tome and Principe,0.00546448087431694
Saudi Arabia,7.727885410772544e-12
Senegal,0.00546448087431694
Seychelles,0.00546448087431694
Sierra Leone,0.00546448087431694
Singapore,0.00546448087431694
Sint Maarten,0.0022046418051190606
Solomon Islands,0.00546448087431694
Somalia,0.00546448087431694
South Africa,0.00546448087431694
South Korea,2.1872385153995828e-16
Spain,2.1890207445801615e-13
Sri Lanka,0.00546448087431694
Sudan,0.00546448087431694
Suriname,0.00546448087431694
Sweden,0.019121283243222265
Syria,7.611277643925369e-07
Taiwan,0.00546448087431694
Tanzania,0.00546448087431694
Thailand,2.4176623974002084e-13
Timor-Leste,0.00546448087431694
Togo,0.00546448087431694
Tokelau,0.00546448087431694
Tonga,0.00546448087431694
Trinidad and Tobago,0.0004714562121704263
Tunisia,0.00546448087431694
Turkey,0.06703373127292334
Turks and Caicos Islands,0.00546448087431694
Uganda,0.00546448087431694
Ukraine,0.00546448087431694
United Arab Emirates,8.481517920255382e-12
United Kingdom,8.865343797811294e-15
United States,3.560448461776095e-15
Uruguay,0.00546448087431694
Vanuatu,0.00546448087431694
Venezuela,0.00546448087431694
Vietnam,0.00546448087431694
Virgin Islands (U.K.),0.0004714562121704409
Virgin Islands (U.S.),0.00546448087431694
Wallis and Futuna,0.00546448087431694
Yemen,0.00546448087431694
