Country,KatzBonacich
Albania,1.0
Algeria,1.0
American Samoa,1.0
Angola,1.0
Anguilla,1.0
Antigua and Barbuda,1.0
Argentina,1.0
Aruba,1.0
Australia,1.0
Bahamas,1.0
Bahrain,1.0
Bangladesh,1.0
Barbados,1.0
Belgium,1.0
Belize,1.0
Benin,1.0
Bermuda,1.0
"Bonaire, Sint Eustatius and Saba",1.0
Brazil,1.0
British Indian Ocean Territory,1.0
Brunei,1.0
Bulgaria,1.0
Cambodia,1.0
Cameroon,1.0
Canada,1.0
Cape Verde,1.0
Cayman Islands,1.0
Chile,1.0
China,1.0
Christmas Island,1.0
Cocos (Keeling) Islands,1.0
Colombia,1.0
Comoros,1.0
"Congo, Dem. Rep.",1.0
"Congo, Rep.",1.0
Cook Islands,1.0
Costa Rica,1.0
Croatia,1.0000017498936937
Cuba,1.0
Cura�ao,1.0
Cyprus,1.0322559834801848
C�te d'Ivoire,1.0
Denmark,2.0000075921270497
Djibouti,1.000062499999991
Dominica,1.0
Dominican Republic,1.0
Ecuador,1.0
Egypt,1.0
Equatorial Guinea,1.0
Estonia,1.0002250399430141
Faroe Islands,1.0
Fiji,1.0
Finland,1.0002400357456027
France,1.0
French Guiana,1.0
French Polynesia,1.0
Gabon,1.0
Gambia,1.0
Georgia,1.0
Germany,1.0
Ghana,1.0
Gibraltar,1.0
Greece,1.0
Greenland,1.0
Grenada,1.0
Guadeloupe,1.0
Guam,1.0
Guatemala,1.0
Guernsey,1.000016593718162
Guinea,1.0
Guinea-Bissau,1.0
Guyana,1.0
Haiti,1.0
Honduras,1.0
Iceland,1.0
India,1.0
Indonesia,1.0
Iran,1.0322559834801848
Iraq,1.0
Ireland,1.0
Isle of Man,1.000047625081773
Israel,1.0
Italy,1.000001749893694
Jamaica,1.0
Japan,1.0
Jersey,1.0000019374571945
Jordan,1.0
Kenya,1.0
Kiribati,1.0
Kuwait,1.0
Latvia,1.000007774573118
Lebanon,1.0
Liberia,1.0
Libya,1.0
Lithuania,1.0
Madagascar,1.0
Malaysia,1.0
Maldives,1.0
Malta,1.0
Marshall Islands,1.0
Martinique,1.0
Mauritania,1.0
Mauritius,1.0
Mayotte,1.0
Mexico,1.0
Micronesia,1.0
Monaco,1.0
Montserrat,1.0
Morocco,1.0000231240894857
Mozambique,1.0
Myanmar,1.0
Namibia,1.0
Netherlands,1.0
New Caledonia,1.0
New Zealand,1.0
Nicaragua,1.0
Nigeria,1.0
Niue,1.0
Northern Mariana Islands,1.0
Norway,1.0
Oman,1.0
Pakistan,1.0
Palau,1.0
Panama,1.0
Papua New Guinea,1.0
Peru,1.0
Philippines,1.0
Poland,1.0
Portugal,1.0
Qatar,1.0
Romania,1.0
Russia,1.0
R�union,1.0
Saint Barth�lemy,1.0
"Saint Helena, Ascension and Tristan da Cunha",1.0
Saint Kitts and Nevis,1.0
Saint Lucia,1.0
Saint Martin,1.0
Saint Pierre and Miquelon,1.0
Saint Vincent and the Grenadines,1.0
Samoa,1.0
Sao Tome and Principe,1.0
Saudi Arabia,1.0
Senegal,1.0
Seychelles,1.0
Sierra Leone,1.0
Singapore,1.0
Sint Maarten,1.0
Solomon Islands,1.0
Somalia,1.0
South Africa,1.0
South Korea,1.0
Spain,1.000023124089486
Sri Lanka,1.0
Sudan,1.0
Suriname,1.0
Sweden,2.0000151845395178
Syria,1.0
Taiwan,1.0
Tanzania,1.0
Thailand,1.0
Timor-Leste,1.0
Togo,1.0
Tokelau,1.0
Tonga,1.0
Trinidad and Tobago,1.0
Tunisia,1.0
Turkey,1.032255983480185
Turks and Caicos Islands,1.0
Uganda,1.0
Ukraine,1.0
United Arab Emirates,1.032255983480185
United Kingdom,1.0000642172657102
United States,1.0
Uruguay,1.0
Vanuatu,1.0
Venezuela,1.0
Vietnam,1.0
Virgin Islands (U.K.),1.0
Virgin Islands (U.S.),1.0
Wallis and Futuna,1.0
Yemen,1.0000624999999914
